Name,Proteins,Fats,Carbohydrates,Calories
Хлеб пшеничный из муки высшего сорта,7.6,2.9,51.4,262
Хлеб пшеничный из муки 1 сорта,7.6,0.9,49.7,226
Хлеб из ржано-пшеничной муки,6.8,1.2,46.4,215
Хлеб ржаной,4.7,0.7,49.8,214
Хлеб "Бородинский",6.9,1.3,40.9,208
Хлеб зерновой (мука пшеничная в/с, зерно дробленое),8.6,1.4,45.1,228
Хлеб цельнозерновой из смеси злаков,13.3,4.2,43.3,265
Хлебцы Dr.Körner "Семь злаков",10,2,57,290
Хлебцы Dr.Körner "Бородинские",11,3,52,280
Хлебцы Dr.Körner "Гречневые" с витаминами,11.6,3,52.4,283
Хлебцы Dr.Körner "Рисовые" с витаминами,6,1,69,310
Сдоба,8,16.8,74.4,450
Сухари из пшеничной муки,11.2,1.4,72.4,331
Мука пшеничная из твердых сортов в/с,10.8,1.3,69.9,334
Мука пшеничная в/с,10.3,1.1,70.6,334
Мука пшеничная 1 сорта,10.6,1.3,69,330
Мука пшеничная 2 сорта,11.6,1.8,64.8,322
Мука пшеничная обойная,11.5,2.2,61.5,312
Мука ржаная сеяная,6.9,1.4,66.3,305
Мука ржаная обдирная,8.9,1.7,61.8,298
Мука ржаная обойная,10.7,1.9,58.5,294
Макаронные изделия из муки твердых сортов в/с,11,1.3,70.5,338
Макаронные изделия из муки твердых сортов в/с, вареные,3.6,0.4,20,98
Макаронные изделия в/с,10.4,1.1,69.7,337
Макаронные изделия в/с,вареные,3.5,0.4,23.2,112
Крупа гречневая ядрица,12.6,3.3,57.1,308
Гречка вареная,4.1,1,18.5,100
Гречневый продел,9.5,2.3,60.4,300
Гречка зеленая ("Мистраль"),13.4,3,68,328
Рис белый шлифованный,7,1,74,333
Рис белый шлифованныйвареный,2.3,0.2,28.7,130
Рис длиннозерный нешлифованный,7.5,2,73,340
Рис нешлифованный вареный,2.5,0.9,23,112
Рис красный нешлифованный,7.5,3,68,330
Рис дикий черный (цицания водная),14.7,1.1,68.7,357
Рис дикий черный вареный,4,0.3,19.5,101
Пшено,11.5,3.3,66.5,342
Пшено вареное,3.5,1.1,23.6,119
Крупа овсяная,12.3,6.1,59.5,342
Овсяные хлопья,12.3,6.2,61.8,352
Каша из овсяных хлопьев на воде,3,1.7,15,88
Каша из овсяных хлопьев на молоке,3.2,4.1,14.2,102
Толокно овсяное,12.5,6,64.9,363
Перловая крупа,9.3,1.1,66.9,315
Перловая крупа вареная,3.1,0.4,22.2,109
Ячневая крупа,10,1.3,65.4,313
Ячневая крупа вареная,2.3,0.3,15.7,76
Крупа пшеничная "Полтавская",11.5,1.3,67.9,329
Крупа пшеничная "Полтавская"вареная,2.9,0.3,15.5,79 
